,WDSC1,RIOC1,MWEC1,IRAC1,GRQC1
2023-05-01 19:00:00+00:00,6.96,5.07,40.74,2.84,57.02
2023-05-01 19:15:00+00:00,6.96,5.07,40.74,2.84,57.01
2023-05-01 19:30:00+00:00,6.96,5.07,40.74,2.84,57.02
2023-05-01 19:45:00+00:00,6.96,5.07,40.74,2.84,57.01
2023-05-01 20:00:00+00:00,6.96,5.07,40.74,2.84,57.01
2023-05-01 20:15:00+00:00,6.96,5.07,40.74,2.84,57.01
2023-05-01 20:30:00+00:00,6.96,5.07,40.74,2.84,57.01
2023-05-01 20:45:00+00:00,6.96,5.07,40.74,2.84,57.01
2023-05-01 21:00:00+00:00,6.96,5.07,40.74,2.84,57.02
2023-05-01 21:15:00+00:00,6.96,5.07,40.74,2.84,57.02
2023-05-01 21:30:00+00:00,6.96,5.07,40.74,2.84,57.018
2023-05-01 21:45:00+00:00,6.96,5.07,40.74,2.84,57.016
2023-05-01 22:00:00+00:00,6.96,5.07,40.74,2.84,57.014
2023-05-01 22:15:00+00:00,6.96,5.07,40.74,2.84,57.012
2023-05-01 22:30:00+00:00,6.96,5.07,40.74,2.84,57.01
2023-05-01 22:45:00+00:00,6.96,5.07,40.74,2.84,57.01
2023-05-01 23:00:00+00:00,6.96,5.07,40.74,2.84,57.01
2023-05-01 23:15:00+00:00,6.96,5.07,40.74,2.84,57.01
2023-05-01 23:30:00+00:00,6.96,5.07,40.74,2.84,57.01
2023-05-01 23:45:00+00:00,6.96,5.07,40.74,2.84,57.01
2023-05-02 00:00:00+00:00,6.96,5.07,40.74,2.84,57.02
2023-05-02 00:15:00+00:00,6.96,5.07,40.74,2.84,57.02
2023-05-02 00:30:00+00:00,6.96,5.07,40.74,2.84,57.02
2023-05-02 00:45:00+00:00,6.96,5.07,40.74,2.84,57.01
2023-05-02 01:00:00+00:00,6.96,5.07,40.74,2.84,57.02
2023-05-02 01:15:00+00:00,6.96,5.07,40.74,2.84,57.02
2023-05-02 01:30:00+00:00,6.96,5.07,40.74,2.84,57.02
2023-05-02 01:45:00+00:00,6.96,5.07,40.74,2.84,57.02
2023-05-02 02:00:00+00:00,6.96,5.07,40.74,2.84,57.02
2023-05-02 02:15:00+00:00,6.96,5.07,40.74,2.84,57.02
2023-05-02 02:30:00+00:00,6.96,5.07,40.74,2.84,57.02
2023-05-02 02:45:00+00:00,6.96,5.07,40.74,2.84,57.02
2023-05-02 03:00:00+00:00,6.96,5.07,40.74,2.84,57.02
2023-05-02 03:15:00+00:00,6.96,5.07,40.74,2.84,57.02
2023-05-02 03:30:00+00:00,6.96,5.07,40.74,2.84,57.02
2023-05-02 03:45:00+00:00,6.96,5.07,40.74,2.84,57.02
2023-05-02 04:00:00+00:00,6.96,5.07,40.74,2.84,57.01
2023-05-02 04:15:00+00:00,6.96,5.07,40.74,2.84,57.01
2023-05-02 04:30:00+00:00,6.96,5.07,40.74,2.84,57.01
2023-05-02 04:45:00+00:00,6.96,5.07,40.74,2.84,57.01
2023-05-02 05:00:00+00:00,6.96,5.07,40.74,2.84,57.02
2023-05-02 05:15:00+00:00,6.96,5.07,40.74,2.84,57.02
2023-05-02 05:30:00+00:00,6.96,5.07,40.74,2.84,57.01
2023-05-02 05:45:00+00:00,6.96,5.07,40.74,2.84,57.01
2023-05-02 06:00:00+00:00,6.96,5.07,40.74,2.84,57.01
2023-05-02 06:15:00+00:00,6.96,5.07,40.74,2.84,57.01
2023-05-02 06:30:00+00:00,6.96,5.07,40.74,2.84,57.01
2023-05-02 06:45:00+00:00,6.96,5.07,40.74,2.84,57.01
2023-05-02 07:00:00+00:00,6.96,5.07,40.74,2.84,57.01
2023-05-02 07:15:00+00:00,6.96,5.07,40.74,2.84,57.0
2023-05-02 07:30:00+00:00,6.96,5.07,40.74,2.84,57.01
2023-05-02 07:45:00+00:00,6.96,5.07,40.74,2.84,57.01
2023-05-02 08:00:00+00:00,6.96,5.07,40.74,2.84,57.0
2023-05-02 08:15:00+00:00,6.96,5.07,40.74,2.84,57.0
2023-05-02 08:30:00+00:00,6.96,5.07,40.74,2.84,57.01
2023-05-02 08:45:00+00:00,6.96,5.07,40.74,2.84,57.0
2023-05-02 09:00:00+00:00,6.96,5.07,40.74,2.84,57.01
2023-05-02 09:15:00+00:00,6.96,5.07,40.74,2.84,57.01
2023-05-02 09:30:00+00:00,6.96,5.07,40.74,2.84,57.01
2023-05-02 09:45:00+00:00,6.96,5.07,40.74,2.84,57.0
2023-05-02 10:00:00+00:00,6.96,5.07,40.74,2.84,57.01
2023-05-02 10:15:00+00:00,6.96,5.07,40.74,2.84,57.0
2023-05-02 10:30:00+00:00,6.96,5.07,40.74,2.84,57.01
2023-05-02 10:45:00+00:00,6.96,5.07,40.74,2.84,57.01
2023-05-02 11:00:00+00:00,6.96,5.07,40.74,2.84,57.01
2023-05-02 11:15:00+00:00,6.96,5.07,40.74,2.84,57.01
2023-05-02 11:30:00+00:00,6.96,5.07,40.74,2.84,57.0
2023-05-02 11:45:00+00:00,6.96,5.07,40.74,2.84,57.01
2023-05-02 12:00:00+00:00,6.96,5.07,40.74,2.84,57.01
2023-05-02 12:15:00+00:00,6.96,5.07,40.74,2.84,57.0
2023-05-02 12:30:00+00:00,6.96,5.07,40.74,2.84,57.01
2023-05-02 12:45:00+00:00,6.96,5.07,40.74,2.84,57.0
2023-05-02 13:00:00+00:00,6.96,5.07,40.74,2.84,57.01
2023-05-02 13:15:00+00:00,6.96,5.07,40.74,2.84,57.02
2023-05-02 13:30:00+00:00,6.96,5.07,40.74,2.84,57.02
2023-05-02 13:45:00+00:00,6.96,5.07,40.74,2.84,57.01
2023-05-02 14:00:00+00:00,6.96,5.07,40.74,2.84,57.02
2023-05-02 14:15:00+00:00,6.96,5.07,40.74,2.84,57.01
